date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
12:47:01	52108/52108	---M--	200	added ('OK')	text/html	etag:%22cb8c-5816e7e5e034c%22	http://aazztech.com/demos/themes/html/tizara/dist/teams.html	E:/Bhargav/templates/nelootpal/aazztech.com/demos/themes/html/tizara/dist/teams.html	(from http://aazztech.com/demos/themes/html/tizara/dist/index4.html)
12:47:03	54575/54575	---M--	200	added ('OK')	text/html	etag:%22d52f-5816e7e6039b4%22	http://aazztech.com/demos/themes/html/tizara/dist/testimonial-styles.html	E:/Bhargav/templates/nelootpal/aazztech.com/demos/themes/html/tizara/dist/testimonial-styles.html	(from http://aazztech.com/demos/themes/html/tizara/dist/index4.html)
12:47:04	325261/325261	---M--	200	added ('OK')	text/html	etag:%224f68d-5816e7deee20e%22	http://aazztech.com/demos/themes/html/tizara/dist/sliders.html	E:/Bhargav/templates/nelootpal/aazztech.com/demos/themes/html/tizara/dist/sliders.html	(from http://aazztech.com/demos/themes/html/tizara/dist/index4.html)
12:47:04	35912/35912	---M--	200	added ('OK')	text/html	etag:%228c48-5816e7e706a3d%22	http://aazztech.com/demos/themes/html/tizara/dist/timelines.html	E:/Bhargav/templates/nelootpal/aazztech.com/demos/themes/html/tizara/dist/timelines.html	(from http://aazztech.com/demos/themes/html/tizara/dist/index4.html)
12:47:06	36038/36038	---M--	200	added ('OK')	text/html	etag:%228cc6-5816e7e7e8785%22	http://aazztech.com/demos/themes/html/tizara/dist/twitter-feed.html	E:/Bhargav/templates/nelootpal/aazztech.com/demos/themes/html/tizara/dist/twitter-feed.html	(from http://aazztech.com/demos/themes/html/tizara/dist/index4.html)
12:47:09	30251/30251	---M--	200	added ('OK')	text/html	etag:%22762b-5816e7e8e46c6%22	http://aazztech.com/demos/themes/html/tizara/dist/video-background.html	E:/Bhargav/templates/nelootpal/aazztech.com/demos/themes/html/tizara/dist/video-background.html	(from http://aazztech.com/demos/themes/html/tizara/dist/index4.html)
12:47:09	34427/34427	---M--	200	added ('OK')	text/html	etag:%22867b-5816e7e8fae26%22	http://aazztech.com/demos/themes/html/tizara/dist/videos.html	E:/Bhargav/templates/nelootpal/aazztech.com/demos/themes/html/tizara/dist/videos.html	(from http://aazztech.com/demos/themes/html/tizara/dist/index4.html)
12:47:13	59761/59761	---M--	200	added ('OK')	text/html	etag:%22e971-5816e7a2216b7%22	http://aazztech.com/demos/themes/html/tizara/dist/about-one.html	E:/Bhargav/templates/nelootpal/aazztech.com/demos/themes/html/tizara/dist/about-one.html	(from http://aazztech.com/demos/themes/html/tizara/dist/index4.html)
12:47:14	32691/32691	---M--	200	added ('OK')	text/html	etag:%227fb3-5816e7b51d0ad%22	http://aazztech.com/demos/themes/html/tizara/dist/contact-1.html	E:/Bhargav/templates/nelootpal/aazztech.com/demos/themes/html/tizara/dist/contact-1.html	(from http://aazztech.com/demos/themes/html/tizara/dist/index4.html)
12:47:15	46129/46129	---M--	200	added ('OK')	text/html	etag:%22b431-5816e7b60017e%22	http://aazztech.com/demos/themes/html/tizara/dist/contact-2.html	E:/Bhargav/templates/nelootpal/aazztech.com/demos/themes/html/tizara/dist/contact-2.html	(from http://aazztech.com/demos/themes/html/tizara/dist/index4.html)
12:47:15	51329/51329	---M--	200	added ('OK')	text/html	etag:%22c881-5816e7a31ba9f%22	http://aazztech.com/demos/themes/html/tizara/dist/about-two.html	E:/Bhargav/templates/nelootpal/aazztech.com/demos/themes/html/tizara/dist/about-two.html	(from http://aazztech.com/demos/themes/html/tizara/dist/index4.html)
12:47:15	31537/31537	---M--	200	added ('OK')	text/html	etag:%227b31-5816e7b61787e%22	http://aazztech.com/demos/themes/html/tizara/dist/contact-3.html	E:/Bhargav/templates/nelootpal/aazztech.com/demos/themes/html/tizara/dist/contact-3.html	(from http://aazztech.com/demos/themes/html/tizara/dist/index4.html)
12:47:16	32216/32216	---M--	200	added ('OK')	text/html	etag:%227dd8-5816e7b7ef360%22	http://aazztech.com/demos/themes/html/tizara/dist/contact-4.html	E:/Bhargav/templates/nelootpal/aazztech.com/demos/themes/html/tizara/dist/contact-4.html	(from http://aazztech.com/demos/themes/html/tizara/dist/index4.html)
12:47:18	43026/43026	---M--	200	added ('OK')	text/html	etag:%22a812-5816e7ac1257e%22	http://aazztech.com/demos/themes/html/tizara/dist/blog-right-sidebar.html	E:/Bhargav/templates/nelootpal/aazztech.com/demos/themes/html/tizara/dist/blog-right-sidebar.html	(from http://aazztech.com/demos/themes/html/tizara/dist/index4.html)
12:47:22	43106/43106	---M--	200	added ('OK')	text/html	etag:%22a862-5816e7aaa3665%22	http://aazztech.com/demos/themes/html/tizara/dist/blog-left-sidebar.html	E:/Bhargav/templates/nelootpal/aazztech.com/demos/themes/html/tizara/dist/blog-left-sidebar.html	(from http://aazztech.com/demos/themes/html/tizara/dist/index4.html)
12:47:22	40639/40639	---M--	200	added ('OK')	text/html	etag:%229ebf-5816e7ab13376%22	http://aazztech.com/demos/themes/html/tizara/dist/blog-masonry1.html	E:/Bhargav/templates/nelootpal/aazztech.com/demos/themes/html/tizara/dist/blog-masonry1.html	(from http://aazztech.com/demos/themes/html/tizara/dist/index4.html)
12:47:25	35414/35414	---M--	200	added ('OK')	text/html	etag:%228a56-5816e7aba10fe%22	http://aazztech.com/demos/themes/html/tizara/dist/blog-masonry2.html	E:/Bhargav/templates/nelootpal/aazztech.com/demos/themes/html/tizara/dist/blog-masonry2.html	(from http://aazztech.com/demos/themes/html/tizara/dist/index4.html)
12:47:27	55659/55659	---M--	200	added ('OK')	text/html	etag:%22d96b-5816e7a581309%22	http://aazztech.com/demos/themes/html/tizara/dist/blog-details-audio.html	E:/Bhargav/templates/nelootpal/aazztech.com/demos/themes/html/tizara/dist/blog-details-audio.html	(from http://aazztech.com/demos/themes/html/tizara/dist/index4.html)
12:47:30	55809/55809	---M--	200	added ('OK')	text/html	etag:%22da01-5816e7a90e204%22	http://aazztech.com/demos/themes/html/tizara/dist/blog-details-video.html	E:/Bhargav/templates/nelootpal/aazztech.com/demos/themes/html/tizara/dist/blog-details-video.html	(from http://aazztech.com/demos/themes/html/tizara/dist/index4.html)
12:47:34	55289/55289	---M--	200	added ('OK')	text/html	etag:%22d7f9-5816e7a776a7b%22	http://aazztech.com/demos/themes/html/tizara/dist/blog-details-link.html	E:/Bhargav/templates/nelootpal/aazztech.com/demos/themes/html/tizara/dist/blog-details-link.html	(from http://aazztech.com/demos/themes/html/tizara/dist/index4.html)
12:47:34	47185/47185	---M--	200	added ('OK')	text/html	etag:%22b851-5816e7a645f7a%22	http://aazztech.com/demos/themes/html/tizara/dist/blog-details-full-width.html	E:/Bhargav/templates/nelootpal/aazztech.com/demos/themes/html/tizara/dist/blog-details-full-width.html	(from http://aazztech.com/demos/themes/html/tizara/dist/index4.html)
12:47:40	53936/53936	---M--	200	added ('OK')	text/html	etag:%22d2b0-5816e7dc41cd4%22	http://aazztech.com/demos/themes/html/tizara/dist/shop-home.html	E:/Bhargav/templates/nelootpal/aazztech.com/demos/themes/html/tizara/dist/shop-home.html	(from http://aazztech.com/demos/themes/html/tizara/dist/index4.html)
12:47:43	50735/50735	---M--	200	added ('OK')	text/html	etag:%22c62f-5816e7de15166%22	http://aazztech.com/demos/themes/html/tizara/dist/single-product.html	E:/Bhargav/templates/nelootpal/aazztech.com/demos/themes/html/tizara/dist/single-product.html	(from http://aazztech.com/demos/themes/html/tizara/dist/index4.html)
12:47:44	43167/43167	---M--	200	added ('OK')	text/html	etag:%22a89f-5816e7dce909d%22	http://aazztech.com/demos/themes/html/tizara/dist/shop-products.html	E:/Bhargav/templates/nelootpal/aazztech.com/demos/themes/html/tizara/dist/shop-products.html	(from http://aazztech.com/demos/themes/html/tizara/dist/index4.html)
12:47:45	35542/35542	---M--	200	added ('OK')	text/html	etag:%228ad6-5816e7dd441a5%22	http://aazztech.com/demos/themes/html/tizara/dist/shopping-cart.html	E:/Bhargav/templates/nelootpal/aazztech.com/demos/themes/html/tizara/dist/shopping-cart.html	(from http://aazztech.com/demos/themes/html/tizara/dist/index4.html)
12:47:45	56048/56048	---M--	200	added ('OK')	text/html	etag:%22daf0-5816e7a7e0db3%22	http://aazztech.com/demos/themes/html/tizara/dist/blog-details-slider.html	E:/Bhargav/templates/nelootpal/aazztech.com/demos/themes/html/tizara/dist/blog-details-slider.html	(from http://aazztech.com/demos/themes/html/tizara/dist/index4.html)
12:47:45	54994/54994	---M--	200	added ('OK')	text/html	etag:%22d6d2-5816e7b27460b%22	http://aazztech.com/demos/themes/html/tizara/dist/checkout.html	E:/Bhargav/templates/nelootpal/aazztech.com/demos/themes/html/tizara/dist/checkout.html	(from http://aazztech.com/demos/themes/html/tizara/dist/index4.html)
12:47:47	30240/30240	---M--	200	added ('OK')	text/html	etag:%227620-5816e7b2b2e0c%22	http://aazztech.com/demos/themes/html/tizara/dist/checkout-confirm.html	E:/Bhargav/templates/nelootpal/aazztech.com/demos/themes/html/tizara/dist/checkout-confirm.html	(from http://aazztech.com/demos/themes/html/tizara/dist/index4.html)
12:47:47	2115/2115	---M--	200	added ('OK')	image/jpeg	etag:%22843-5816e8241b205%22	http://aazztech.com/demos/themes/html/tizara/dist/img/ci1.jpg	E:/Bhargav/templates/nelootpal/aazztech.com/demos/themes/html/tizara/dist/img/ci1.jpg	(from http://aazztech.com/demos/themes/html/tizara/dist/index4.html)
12:47:48	2235/2235	---M--	200	added ('OK')	image/jpeg	etag:%228bb-5816e8243f425%22	http://aazztech.com/demos/themes/html/tizara/dist/img/ci2.jpg	E:/Bhargav/templates/nelootpal/aazztech.com/demos/themes/html/tizara/dist/img/ci2.jpg	(from http://aazztech.com/demos/themes/html/tizara/dist/index4.html)
12:47:49	889/889	---M--	200	added ('OK')	image/svg+xml	etag:%22379-5816e8ad84e31%22	http://aazztech.com/demos/themes/html/tizara/dist/img/svg/play-btn.svg	E:/Bhargav/templates/nelootpal/aazztech.com/demos/themes/html/tizara/dist/img/svg/play-btn.svg	(from http://aazztech.com/demos/themes/html/tizara/dist/index4.html)
