date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
14:48:15	5095/5095	---M--	200	added ('OK')	image/png	date:Mon,%2011%20Mar%202019%2011:31:14%20GMT	https://irtech.biz/TF/prolandix/brolandix/assets/img/icon-bg.png	E:/Bhargav/templates/neelotpal3/irtech.biz/TF/prolandix/brolandix/assets/img/icon-bg.png	(from https://irtech.biz/TF/prolandix/brolandix/assets/css/style.css)
14:48:19	135517/135517	---M--	200	added ('OK')	image/png	date:Fri,%2022%20Mar%202019%2014:31:04%20GMT	https://irtech.biz/TF/prolandix/brolandix/assets/img/bg/list-feature-bg-2.png	E:/Bhargav/templates/neelotpal3/irtech.biz/TF/prolandix/brolandix/assets/img/bg/list-feature-bg-2.png	(from https://irtech.biz/TF/prolandix/brolandix/assets/css/style.css)
14:48:21	190530/190530	---M--	200	added ('OK')	image/jpeg	date:Tue,%2012%20Mar%202019%2022:54:42%20GMT	https://irtech.biz/TF/prolandix/brolandix/assets/img/bg/intro-bg.jpg	E:/Bhargav/templates/neelotpal3/irtech.biz/TF/prolandix/brolandix/assets/img/bg/intro-bg.jpg	(from https://irtech.biz/TF/prolandix/brolandix/assets/css/style.css)
14:48:22	116730/116730	---M--	200	added ('OK')	image/png	date:Fri,%2015%20Mar%202019%2003:36:38%20GMT	https://irtech.biz/TF/prolandix/brolandix/assets/img/bg/testimonial-bg.png	E:/Bhargav/templates/neelotpal3/irtech.biz/TF/prolandix/brolandix/assets/img/bg/testimonial-bg.png	(from https://irtech.biz/TF/prolandix/brolandix/assets/css/style.css)
14:48:23	50321/50321	---M--	200	added ('OK')	image/jpeg	date:Fri,%2015%20Mar%202019%2001:25:44%20GMT	https://irtech.biz/TF/prolandix/brolandix/assets/img/bg/contact.jpg	E:/Bhargav/templates/neelotpal3/irtech.biz/TF/prolandix/brolandix/assets/img/bg/contact.jpg	(from https://irtech.biz/TF/prolandix/brolandix/assets/css/style.css)
14:48:25	77726/77726	---M--	200	added ('OK')	image/png	date:Fri,%2022%20Mar%202019%2002:39:22%20GMT	https://irtech.biz/TF/prolandix/brolandix/assets/img/bg/amazing-bg-2.png	E:/Bhargav/templates/neelotpal3/irtech.biz/TF/prolandix/brolandix/assets/img/bg/amazing-bg-2.png	(from https://irtech.biz/TF/prolandix/brolandix/assets/css/style.css)
14:48:27	84451/84451	---M--	200	added ('OK')	image/png	date:Fri,%2015%20Mar%202019%2011:50:50%20GMT	https://irtech.biz/TF/prolandix/brolandix/assets/img/header-shape.png	E:/Bhargav/templates/neelotpal3/irtech.biz/TF/prolandix/brolandix/assets/img/header-shape.png	(from https://irtech.biz/TF/prolandix/brolandix/index-2.html)
14:48:30	186761/186761	---M--	200	added ('OK')	image/png	date:Fri,%2015%20Mar%202019%2011:52:56%20GMT	https://irtech.biz/TF/prolandix/brolandix/assets/img/header-clock.png	E:/Bhargav/templates/neelotpal3/irtech.biz/TF/prolandix/brolandix/assets/img/header-clock.png	(from https://irtech.biz/TF/prolandix/brolandix/index-2.html)
14:48:30	13671/13671	---M--	200	added ('OK')	image/png	date:Fri,%2015%20Mar%202019%2011:46:46%20GMT	https://irtech.biz/TF/prolandix/brolandix/assets/img/feature-shape.png	E:/Bhargav/templates/neelotpal3/irtech.biz/TF/prolandix/brolandix/assets/img/feature-shape.png	(from https://irtech.biz/TF/prolandix/brolandix/index-2.html)
14:48:33	33172/33172	---M--	200	added ('OK')	image/jpeg	date:Fri,%2015%20Mar%202019%2015:09:52%20GMT	https://irtech.biz/TF/prolandix/brolandix/assets/img/bg/header-right-wtch.jpg	E:/Bhargav/templates/neelotpal3/irtech.biz/TF/prolandix/brolandix/assets/img/bg/header-right-wtch.jpg	(from https://irtech.biz/TF/prolandix/brolandix/index-3.html)
14:48:34	26696/26696	---M--	200	added ('OK')	image/jpeg	date:Fri,%2015%20Mar%202019%2015:34:02%20GMT	https://irtech.biz/TF/prolandix/brolandix/assets/img/bg/header-leftwtch.jpg	E:/Bhargav/templates/neelotpal3/irtech.biz/TF/prolandix/brolandix/assets/img/bg/header-leftwtch.jpg	(from https://irtech.biz/TF/prolandix/brolandix/index-3.html)
14:48:38	171114/171114	---M--	200	added ('OK')	image/png	date:Fri,%2015%20Mar%202019%2016:32:36%20GMT	https://irtech.biz/TF/prolandix/brolandix/assets/img/header-watch.png	E:/Bhargav/templates/neelotpal3/irtech.biz/TF/prolandix/brolandix/assets/img/header-watch.png	(from https://irtech.biz/TF/prolandix/brolandix/index-4.html)
14:48:38	78866/78866	---M--	200	added ('OK')	image/jpeg	date:Mon,%2024%20Dec%202018%2004:34:14%20GMT	https://irtech.biz/TF/prolandix/brolandix/assets/img/blog/01.jpg	E:/Bhargav/templates/neelotpal3/irtech.biz/TF/prolandix/brolandix/assets/img/blog/01.jpg	(from https://irtech.biz/TF/prolandix/brolandix/blog.html)
14:48:40	76038/76038	---M--	200	added ('OK')	image/jpeg	date:Mon,%2024%20Dec%202018%2004:54:40%20GMT	https://irtech.biz/TF/prolandix/brolandix/assets/img/blog/02.jpg	E:/Bhargav/templates/neelotpal3/irtech.biz/TF/prolandix/brolandix/assets/img/blog/02.jpg	(from https://irtech.biz/TF/prolandix/brolandix/blog.html)
14:48:42	69513/69513	---M--	200	added ('OK')	image/jpeg	date:Mon,%2024%20Dec%202018%2004:55:04%20GMT	https://irtech.biz/TF/prolandix/brolandix/assets/img/blog/03.jpg	E:/Bhargav/templates/neelotpal3/irtech.biz/TF/prolandix/brolandix/assets/img/blog/03.jpg	(from https://irtech.biz/TF/prolandix/brolandix/blog.html)
14:48:44	96095/96095	---M--	200	added ('OK')	image/jpeg	date:Tue,%2008%20Jan%202019%2005:27:20%20GMT	https://irtech.biz/TF/prolandix/brolandix/assets/img/blog/04.jpg	E:/Bhargav/templates/neelotpal3/irtech.biz/TF/prolandix/brolandix/assets/img/blog/04.jpg	(from https://irtech.biz/TF/prolandix/brolandix/blog.html)
14:48:46	84517/84517	---M--	200	added ('OK')	image/jpeg	date:Tue,%2008%20Jan%202019%2005:31:02%20GMT	https://irtech.biz/TF/prolandix/brolandix/assets/img/blog/05.jpg	E:/Bhargav/templates/neelotpal3/irtech.biz/TF/prolandix/brolandix/assets/img/blog/05.jpg	(from https://irtech.biz/TF/prolandix/brolandix/blog.html)
14:48:48	87428/87428	---M--	200	added ('OK')	image/jpeg	date:Tue,%2008%20Jan%202019%2005:33:22%20GMT	https://irtech.biz/TF/prolandix/brolandix/assets/img/blog/06.jpg	E:/Bhargav/templates/neelotpal3/irtech.biz/TF/prolandix/brolandix/assets/img/blog/06.jpg	(from https://irtech.biz/TF/prolandix/brolandix/blog.html)
14:48:48	9775/9775	---M--	200	added ('OK')	image/jpeg	date:Mon,%2011%20Feb%202019%2017:30:16%20GMT	https://irtech.biz/TF/prolandix/brolandix/assets/img/popular-post/01.jpg	E:/Bhargav/templates/neelotpal3/irtech.biz/TF/prolandix/brolandix/assets/img/popular-post/01.jpg	(from https://irtech.biz/TF/prolandix/brolandix/blog.html)
14:48:50	9438/9438	---M--	200	added ('OK')	image/jpeg	date:Mon,%2011%20Feb%202019%2017:30:02%20GMT	https://irtech.biz/TF/prolandix/brolandix/assets/img/popular-post/02.jpg	E:/Bhargav/templates/neelotpal3/irtech.biz/TF/prolandix/brolandix/assets/img/popular-post/02.jpg	(from https://irtech.biz/TF/prolandix/brolandix/blog.html)
14:48:51	9547/9547	---M--	200	added ('OK')	image/jpeg	date:Mon,%2011%20Feb%202019%2017:29:48%20GMT	https://irtech.biz/TF/prolandix/brolandix/assets/img/popular-post/03.jpg	E:/Bhargav/templates/neelotpal3/irtech.biz/TF/prolandix/brolandix/assets/img/popular-post/03.jpg	(from https://irtech.biz/TF/prolandix/brolandix/blog.html)
14:48:54	182368/182368	---M--	200	added ('OK')	image/jpeg	date:Tue,%2008%20Jan%202019%2006:23:46%20GMT	https://irtech.biz/TF/prolandix/brolandix/assets/img/blog/blog-details.jpg	E:/Bhargav/templates/neelotpal3/irtech.biz/TF/prolandix/brolandix/assets/img/blog/blog-details.jpg	(from https://irtech.biz/TF/prolandix/brolandix/blog-details.html)
14:48:54	6559/6559	---M--	200	added ('OK')	image/jpeg	date:Sun,%2020%20Jan%202019%2021:08:14%20GMT	https://irtech.biz/TF/prolandix/brolandix/assets/img/comments/01.jpg	E:/Bhargav/templates/neelotpal3/irtech.biz/TF/prolandix/brolandix/assets/img/comments/01.jpg	(from https://irtech.biz/TF/prolandix/brolandix/blog-details.html)
14:48:56	9793/9793	---M--	200	added ('OK')	image/jpeg	date:Sun,%2020%20Jan%202019%2021:08:18%20GMT	https://irtech.biz/TF/prolandix/brolandix/assets/img/comments/02.jpg	E:/Bhargav/templates/neelotpal3/irtech.biz/TF/prolandix/brolandix/assets/img/comments/02.jpg	(from https://irtech.biz/TF/prolandix/brolandix/blog-details.html)
